cik,entityName,companyFact,end,val,accn,fy,fp,form,filed,units,company
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2011-09-24,-1446000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2011-09-24,-1446000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2012-09-29,931000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2012-09-29,931000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2012-09-29,931000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2013-09-28,3513000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2013-09-28,3513000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2013-09-28,3513000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2014-09-27,-415000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2014-09-27,-415000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2014-09-27,-415000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2015-09-26,7276000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2015-09-26,7276000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2015-09-26,7276000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2016-09-24,-636000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2016-09-24,-636000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2016-09-24,-636000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2017-09-30,-195000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2017-09-30,-195000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2018-09-29,5624000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2009-09-26,0,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2010-09-25,0,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2010-09-25,0,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2011-09-24,0,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2011-09-24,0,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2012-09-29,0,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2012-09-29,0,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2013-09-28,0,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2013-09-28,0,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2014-09-27,0,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2014-09-27,0,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2015-09-26,0,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2015-09-26,0,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2016-09-24,0,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2016-09-24,0,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2017-09-30,0,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2019-09-28,747000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2020-09-26,1041000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2020-09-26,1041000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2021-09-25,4903000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2021-09-25,4903000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,DeferredTaxAssetsValuationAllowance,2022-09-24,7530000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2007-09-29,4,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2008-09-27,5,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2008-09-27,7,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2008-12-27,3,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-03-28,2,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-06-27,2,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-09-26,6,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-09-26,9,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-09-26,9,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-09-26,3,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-12-26,4,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2009-12-26,4,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-03-27,3,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-03-27,3,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-06-26,4,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-06-26,4,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-09-25,15,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-09-25,15,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-09-25,15,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-09-25,5,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-09-25,5,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-12-25,7,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2010-12-25,7,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-03-26,6,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-03-26,6,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-06-25,8,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-06-25,8,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-09-24,28,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-09-24,28,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-09-24,28,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD/shares,APPLE
320193,Apple Inc.,EarningsPerShareBasic,2011-09-24,7,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD/shares,APPLE
